file,nodes_expanded,reached_goal,best_path_len,start_yx,goal_yx,end_x,end_y,runtime_sec,history_mode,euclid_start_goal,goal_radius_min,goal_radius_max
map_data_79.npz,4,1,17,"(17, 5)","(13, 7)",6.425161838531494,14.205446243286133,0.1474484439968364,full,3.0,0.0,5.0
map_data_80.npz,2,1,9,"(11, 11)","(10, 10)",9.860295295715332,9.870004653930664,0.056965322997712,none,3.605551275463989,0.0,5.0
map_data_80.npz,1,0,1,"(11, 11)","(13, 11)",11.0,11.0,24.914552066002216,full,3.0,0.0,5.0
map_data_82.npz,1,0,1,"(1, 27)","(4, 25)",27.0,1.0,24.746705369005213,full,3.0,0.0,5.0
map_data_82.npz,1,0,1,"(1, 27)","(3, 25)",27.0,1.0,28.733710388001786,none,3.605551275463989,0.0,5.0
map_data_83.npz,1,0,1,"(1, 7)","(5, 7)",7.0,1.0,28.844012823999947,none,3.605551275463989,0.0,5.0
map_data_83.npz,1,0,1,"(1, 7)","(5, 7)",7.0,1.0,24.579504905996146,full,3.0,0.0,5.0
map_data_84.npz,3,1,17,"(37, 2)","(37, 6)",5.1053786277771,36.9520263671875,0.098736521002138,full,3.0,0.0,5.0
map_data_84.npz,2,1,9,"(37, 2)","(39, 3)",2.732562065124512,38.407508850097656,0.0568961259996285,none,3.605551275463989,0.0,5.0
map_data_85.npz,4,1,25,"(37, 17)","(37, 12)",12.416369438171388,37.04660415649414,0.147203790002095,full,3.0,0.0,5.0
map_data_85.npz,2,1,9,"(37, 17)","(37, 20)",18.592084884643555,37.00204849243164,0.0496513819998654,none,3.605551275463989,0.0,5.0
map_data_86.npz,1,0,1,"(3, 7)","(6, 5)",7.0,3.0,29.45503656599976,none,3.605551275463989,0.0,5.0
map_data_86.npz,3,0,9,"(3, 7)","(7, 5)",6.51137638092041,4.487132549285889,25.16513098699943,full,3.0,0.0,5.0
map_data_87.npz,31,0,9,"(5, 36)","(6, 33)",34.50187683105469,5.50426721572876,24.33554461099993,full,3.0,0.0,5.0
map_data_87.npz,1,0,1,"(5, 36)","(5, 33)",36.0,5.0,25.09239971200077,none,3.605551275463989,0.0,5.0
map_data_88.npz,31,0,9,"(17, 25)","(13, 25)",24.987154006958008,15.38458251953125,24.48799537000013,full,3.0,0.0,5.0
map_data_88.npz,2,1,9,"(17, 25)","(16, 25)",24.990541458129883,15.451539039611816,0.056803914001648,none,3.605551275463989,0.0,5.0
map_data_89.npz,2,1,9,"(18, 11)","(19, 10)",9.911561012268066,19.11009979248047,0.0573918780009989,none,3.605551275463989,0.0,5.0
map_data_89.npz,2,1,9,"(18, 11)","(16, 11)",10.993743896484377,16.40508270263672,0.0488231170020299,full,3.0,0.0,5.0
map_data_90.npz,1,0,1,"(4, 7)","(7, 4)",7.0,4.0,29.32689267100068,none,3.605551275463989,0.0,5.0
map_data_90.npz,1,0,1,"(4, 7)","(7, 5)",7.0,4.0,24.557850680997944,full,3.0,0.0,5.0
map_data_91.npz,2,1,9,"(22, 1)","(19, 1)",0.9968152046203612,20.44447326660156,0.057340663001014,none,3.605551275463989,0.0,5.0
map_data_91.npz,4,1,17,"(22, 1)","(18, 1)",1.0050190687179563,18.87424087524414,0.1459955550017184,full,3.0,0.0,5.0
map_data_92.npz,1,0,1,"(29, 4)","(26, 1)",4.0,29.0,24.323152575001583,full,3.0,0.0,5.0
map_data_92.npz,5,0,17,"(29, 4)","(25, 7)",5.98332405090332,26.511653900146484,29.040893759996838,none,3.605551275463989,0.0,5.0
map_data_93.npz,2,1,9,"(3, 17)","(2, 17)",17.00339126586914,1.4779677391052246,0.0494784120019176,full,3.0,0.0,5.0
map_data_93.npz,29,0,9,"(3, 17)","(7, 19)",17.721538543701172,4.440638065338135,28.74768298599884,none,3.605551275463989,0.0,5.0
map_data_94.npz,1,0,1,"(3, 1)","(1, 3)",1.0,3.0,24.469662883995625,full,3.0,0.0,5.0
map_data_94.npz,2,1,9,"(3, 1)","(3, 2)",2.571373462677002,2.9989562034606934,0.0569939550005074,none,3.605551275463989,0.0,5.0
map_data_95.npz,4,1,25,"(5, 22)","(9, 19)",19.29865074157715,8.761187553405762,20.951898919000087,none,3.605551275463989,0.0,5.0
map_data_95.npz,39,0,9,"(5, 22)","(3, 19)",20.659210205078125,4.145530223846436,24.58394961599697,full,3.0,0.0,5.0
map_data_96.npz,2,0,9,"(17, 10)","(17, 15)",11.499065399169922,16.99590492248535,28.808198700000503,none,3.605551275463989,0.0,5.0
map_data_96.npz,1,0,1,"(17, 10)","(13, 9)",10.0,17.0,24.49030364599821,full,3.0,0.0,5.0
map_data_97.npz,3,1,17,"(13, 5)","(9, 5)",4.991524696350098,9.84954071044922,0.1137599069988937,none,3.605551275463989,0.0,5.0
